Team,,Payer Information,,,Technician Certifications,,,,,Telehealth,,,,,,Direct/Indirect,,,,BCaBA Allowances,,,Group Therapy Size Specifications,,,Miscellaneous Payer Rules,,
Tami/Rebecca,Aetna Meritain - Arizona - Private,Centria Autism Services-Arizona,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Tami/Rebecca,Health Choice - Arizona - Medicaid,Centria Autism Services-Arizona,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,,,
Tami/Rebecca,Optum - Shared Services - Private,Centria Autism Services-Arizona,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,Optum - Oxford - Private,Centria Autism Services-Arizona,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,Optum - Golden Rule - Private,Centria Autism Services-Arizona,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,Optum - All Savers - Private,Centria Autism Services-Arizona,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,Magellan - Arizona - Private,Centria Autism Services-Arizona,National,Private,Yes,No,Yes,No,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,Approval for Tele Psych Testing is temporary,,
Tami/Rebecca,Care 1st - Arizona - Medicaid,Centria Autism Services-Arizona,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,,,
Tami/Rebecca,CareSource Marketplace  - Georgia - Private,Centria Autism Services-Georgia,State,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,,,,,,,,,,,Looking for information 6/11/2024,,
Tami/Rebecca,Peach State Health Plan - Ambetter Marketplace- Georgia - Private,Centria Autism Services-Georgia,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,CareFirst BCBS RPN - Maryland - Private,Centria Autism Services-Maryland,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Unicare - Carelon - Massachusetts - Private,Centria Autism Services-Massachusetts,National,Private,No,No,Yes,Yes,No,,,,,,No,,,,,,,,,,,Only 90791 allowed via telehealth,,
Tami/Rebecca,Wellsense Essential - Massachusetts - Medicaid,Centria Autism Services-Massachusetts,State,Private,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Carolina Complete Health - North Carolina - Medicaid,Centria Autism Services-North Carolina,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,KX,,,,,,No,No,No,,,,"BCaBA categorized as a ""paraprofessional"" in RB-BHT policy",,
Tami/Rebecca,Eastpointe - North Carolina - Medicaid,Centria Autism Services-North Carolina,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,KX,,,,,,No,No,No,,,,"BCaBA categorized as a ""paraprofessional"" in RB-BHT policy",,
Tami/Rebecca,Partners Behavioral Health Management - North Carolina - Medicaid,Centria Autism Services-North Carolina,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,KX,,,,,,No,No,No,,,,"BCaBA categorized as a ""paraprofessional"" in RB-BHT policy",,
Tami/Rebecca,Trillium Health Resources - North Carolina - Medicaid,Centria Autism Services-North Carolina,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,KX,,,,,,No,No,No,,,,"BCaBA categorized as a ""paraprofessional"" in RB-BHT policy",,
Tami/Rebecca,Arizona Care Network - Arizona - Private,Centria Autism Services-Arizona,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,,,
Tami/Rebecca,BCBS - Texas - Private,Centria Autism Services-Texas,State,Private,No,No,No,No,Yes,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,AHCCCS - Arizona - Medicaid,Centria Autism Services-Arizona,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,,,
Tami/Rebecca,Community Health Choice- Marketplace -Texas - Private,Centria Autism Services-Texas,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Optum - UMR - Private,Centria Autism Services-Arizona,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,Cardinal Care-Virginia-Medicaid,Centria Autism Services-Virginia,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,,,,,Yes,Yes,Yes,,,,"Tele 97151 allowed for reassessment only, 90791 allowed via tele",,
Tami/Rebecca,CareFirst BCBS - Virginia - Private,Centria Autism Services-Virginia,State,Private,No,No,Yes,Yes,No,,,,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Sentara Health Plan - Virginia - Private,Centria Autism Services-Virginia,State,Private,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
Tami/Rebecca,Optum - Arizona - Private,Centria Autism Services-Arizona,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,Sentara Health Plan - Virginia - Medicaid,Centria Autism Services-Virginia,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,,,,,Yes,Yes,Yes,,,,"Tele 97151 allowed for reassessment only, 90791 allowed via tele",,
Tami/Rebecca,Aetna - Arizona - Private,Centria Autism Services-Arizona,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Tami/Rebecca,Banner University Family Care - Arizona - Medicaid,Centria Autism Services-Arizona,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,,,
Tami/Rebecca,Arizona Complete Health - Arizona - Medicaid,Centria Autism Services-Arizona,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,,,
Tami/Rebecca,Western Sky Community Care - New Mexico - Medicaid,Centria Autism Services-New Mexico,State,Medicaid,Yes,180 Days,No,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,BCBS - Arizona - Private,Centria Autism Services-Arizona,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,,,
Tami/Rebecca,Optum - Arizona - Medicaid,Centria Autism Services-Arizona,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,,,
Tami/Rebecca,Vaya Health - North Carolina - Medicaid,Centria Autism Services-North Carolina,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,KX,,,,,,No,No,No,,,,"BCaBA categorized as a ""paraprofessional"" in RB-BHT policy",,
Tami/Rebecca,Mercy Care - Arizona - Medicaid,Centria Autism Services-Arizona,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,,,
Tami/Rebecca,TUFTS - Massachusetts - Private - Centria,Centria Autism Services-Massachusetts,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,N/A,,,,,,,,,,,,,,
Tami/Rebecca,State of North Carolina - North Carolina - Medicaid,Centria Autism Services-North Carolina,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,KX,,,,,,No,No,No,,,,"BCaBA categorized as a ""paraprofessional"" in RB-BHT policy",,
Tami/Rebecca,Scott & White - Texas - Private,Centria Autism Services-Texas,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,
Tami/Rebecca,"Quest Behavioral Health, Inc - Maryland - Private",Centria Autism Services-Maryland,State,Private,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
Tami/Rebecca,Presbyterian - New Mexico - Private,Centria Autism Services-New Mexico,State,Private,Yes,180 Days,No,Yes,No,No,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Peach State Health Plan - Georgia - Medicaid,Centria Autism Services-Georgia,State,Medicaid,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,,,,,No,No,No,,,,,,
Tami/Rebecca,Optum - Georgia - Private,Centria Autism Services-Georgia,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,Aetna - Georgia - Private,Centria Autism Services-Georgia,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Tami/Rebecca,Optum - Virginia - Medicaid,Centria Autism Services-Virginia,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,,,,,Yes,Yes,Yes,,,,"Tele 97151 allowed for reassessment only, 90791 allowed via tele",,
Tami/Rebecca,Aetna - Maryland - Private,Centria Autism Services-Maryland,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Tami/Rebecca,Optum - Maryland - Private,Centria Autism Services-Maryland,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,Optum - North Carolina - Medicaid,Centria Autism Services-North Carolina,State,Medicaid,Yes,60 Days,No,No,No,Yes,Yes,Yes,Yes,KX,,,,,,No,No,No,,,,"BCaBA categorized as a ""paraprofessional"" in RB-BHT policy",,
Tami/Rebecca,Optum - Massachusetts - Private - Centria,Centria Autism Services-Massachusetts,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,Optum - Harvard Pilgrim - Private,Centria Autism Services-Massachusetts,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,Optum - Massachusetts - Medicaid - Centria,Centria Autism Services-Massachusetts,State,Medicaid,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Magellan - Massachusetts - Private,Centria Autism Services-Massachusetts,National,Private,Yes,No,Yes,No,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,Approval for Tele Psych Testing is temporary,,
Tami/Rebecca,Aetna - Massachusetts - Private,Centria Autism Services-Massachusetts,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Tami/Rebecca,MBHP - Massachusetts - Medicaid - Centria,Centria Autism Services-Massachusetts,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Kaiser Self Funded Plan - Maryland - Private,Centria Autism Services-Maryland,State,Private,Yes,No,No,No,No,No,Yes,Yes,No,N/A,,Yes,,15%,Yes,Yes,Yes,Yes,,,,97155 only allowed via telehealth up to 50% of the time,,
Tami/Rebecca,Kaiser - Virginia - Medicaid,Centria Autism Services-Virginia,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,,,,,Yes,Yes,Yes,,,,"Tele 97151 allowed for reassessment only, 90791 allowed via tele",,
Tami/Rebecca,Kaiser - DC - Private,Centria Autism Services-Maryland,State,Private,Yes,No,No,No,No,No,Yes,Yes,No,N/A,,Yes,,15%,Yes,Yes,Yes,Yes,,,,97155 only allowed via telehealth up to 50% of the time,,
Tami/Rebecca,John Hopkins USFHP - Maryland - Tricare,Centria Autism Services-Maryland,Federal,Tricare,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,No,No,N/A,No,Yes,Yes,Yes,,,,Allows only 97156 telehealth after 6 months of service,,
Tami/Rebecca,John Hopkins - Maryland - Private,Centria Autism Services-Maryland,State,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Imagine Health - Texas - Private,Centria Autism Services-Texas,State,Private,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
Tami/Rebecca,Humana (TriCare East) - Virginia - TriCare,Centria Autism Services-Virginia,Federal,Tricare,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,No,No,N/A,No,Yes,Yes,Yes,,,,Allows only 97156 telehealth after 6 months of service,,
Tami/Rebecca,Humana (TriCare East) - North Carolina - TriCare,Centria Autism Services-North Carolina,Federal,Tricare,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,No,No,N/A,No,Yes,Yes,Yes,,,,Allows only 97156 telehealth after 6 months of service,,
Tami/Rebecca,Humana (TriCare East) - Massachusetts - TriCare,Centria Autism Services-Massachusetts,Federal,Tricare,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,No,No,N/A,No,Yes,Yes,Yes,,,,Allows only 97156 telehealth after 6 months of service,,
Tami/Rebecca,Humana (TriCare East) - Maryland - TriCare,Centria Autism Services-Maryland,Federal,Tricare,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,No,No,N/A,No,Yes,Yes,Yes,,,,Allows only 97156 telehealth after 6 months of service,,
Tami/Rebecca,Humana (TriCare East) - Georgia - TriCare,Centria Autism Services-Georgia,Federal,Tricare,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,No,No,N/A,No,Yes,Yes,Yes,,,,Allows only 97156 telehealth after 6 months of service,,
Tami/Rebecca,Humana - Virginia - Private,Centria Autism Services-Virginia,National,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,,,,,,,,,,,,,
Tami/Rebecca,Humana - North Carolina - Private,Centria Autism Services-North Carolina,National,Private,No,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Humana - New Mexico - Private,Centria Autism Services-New Mexico,National,Private,No,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Humana - Massachusetts - Private,Centria Autism Services-Massachusetts,National,Private,No,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Humana - Georgia - Private,Centria Autism Services-Georgia,State,Private,No,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,HNFS (TriCare West) - New Mexico - TriCare,Centria Autism Services-New Mexico,Federal,Tricare,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,No,No,N/A,No,Yes,Yes,Yes,,,,Allows only 97156 telehealth after 6 months of service,,
Tami/Rebecca,HNFS (TriCare West) - Arizona - TriCare,Centria Autism Services-Arizona,Federal,Tricare,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,No,No,N/A,No,Yes,Yes,Yes,,,,Allows only 97156 telehealth after 6 months of service,,
Tami/Rebecca,Healthcare Highways - Texas - Private,Centria Autism Services-Texas,State,Private,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
Tami/Rebecca,FFS - New Mexico - Medicaid,Centria Autism Services-New Mexico,State,Medicaid,Yes,180 Days,No,Yes,No,Yes,Yes,Yes,No,N/A,,,,5%,,,,,,,,,,
Tami/Rebecca,ComPsych - Texas - Private,Centria Autism Services-Texas,National,Private,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,ComPsych - New Mexico - Private,Centria Autism Services-New Mexico,National,Private,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,ComPsych - Massachusetts - Private,Centria Autism Services-Massachusetts,National,Private,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,ComPsych - Arizona - Private,Centria Autism Services-Arizona,National,Private,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,CHAMPVA - Virginia - CHAMPVA,Centria Autism Services-Virginia,State,ChampVA,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,,,,,,,Only 97156 allowed after 6 months of service,,
Tami/Rebecca,CHAMPVA - Texas - CHAMPVA,Centria Autism Services-Texas,State,ChampVA,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,,,,,,,Only 97156 allowed after 6 months of service,,
Tami/Rebecca,CHAMPVA - New Mexico - CHAMPVA,Centria Autism Services-New Mexico,State,ChampVA,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,,,,,,,Only 97156 allowed after 6 months of service,,
Tami/Rebecca,CHAMPVA - Maryland - CHAMPVA,Centria Autism Services-Maryland,State,ChampVA,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,,,,,,,Only 97156 allowed after 6 months of service,,
Tami/Rebecca,CareSource - Georgia - Medicaid,Centria Autism Services-Georgia,State,Medicaid,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,,,,,No,No,No,,,,,,
Tami/Rebecca,Carelon - Texas - Private,Centria Autism Services-Texas,National,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No ,N/A,No,,,,,,,,,,,Only 90791 allowed via telehealth,,
Tami/Rebecca,Carelon - New Mexico - Private,Centria Autism Services-New Mexico,National,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,,,,,,,,,,,Only 90791 allowed via telehealth,,
Tami/Rebecca,Carelon - Massachusetts - Medicaid - Centria,Centria Autism Services-Massachusetts,State,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Carelon - Arizona - Private,Centria Autism Services-Arizona,National,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,,,,,,,,,,,Only 90791 allowed via telehealth,,
Tami/Rebecca,CareFirst BCBS BlueChoice - Maryland - Private,Centria Autism Services-Maryland,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Blue Cross Blue Shield - North Carolina - Medicaid,Centria Autism Services-North Carolina,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,KX,,,,,,No,No,No,,,,"BCaBA categorized as a ""paraprofessional"" in RB-BHT policy",,
Tami/Rebecca,Blue Benefit - Massachusetts - Private - Centria,Centria Autism Services-Massachusetts,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,BCBS Anthem - Georgia - Private,Centria Autism Services-Georgia,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,Yes,No,No,No,,,,,,
Tami/Rebecca,BCBS - New Mexico - Private,Centria Autism Services-New Mexico,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Amerihealth Caritas - North Carolina - Medicaid,Centria Autism Services-North Carolina,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,KX,,,,,,No,No,No,,,,"BCaBA categorized as a ""paraprofessional"" in RB-BHT policy",,
Tami/Rebecca,Amerigroup - Georgia - Medicaid,Centria Autism Services-Georgia,State,Medicaid,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,,,,,No,No,No,,,,,,
Tami/Rebecca,Alliance Health - North Carolina - Medicaid,Centria Autism Services-North Carolina,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,KX,,,,,,No,No,No,,,,"BCaBA categorized as a ""paraprofessional"" in RB-BHT policy",,
Tami/Rebecca,Aetna - Virginia - Medicaid,Centria Autism Services-Virginia,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,,,,,Yes,Yes,Yes,,,,"Tele 97151 allowed for reassessment only, 90791 allowed via tele",,
Tami/Rebecca,Aetna Meritain - New Mexico - Private,Centria Autism Services-New Mexico,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Tami/Rebecca,Optum - New Mexico - Private,Centria Autism Services-New Mexico,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,Cigna Evernorth - Maryland - Private,Centria Autism Services-Maryland,National,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,Yes,Yes,20%,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Tami/Rebecca,Cigna Evernorth - Virginia - Private,Centria Autism Services-Virginia,National,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,Yes,Yes,20%,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Tami/Rebecca,Cigna Evernorth - Massachusetts - Private,Centria Autism Services-Massachusetts,National,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,Yes,Yes,20%,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Tami/Rebecca,Cigna Evernorth - North Carolina - Private,Centria Autism Services-North Carolina,National,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,Yes,Yes,20%,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Tami/Rebecca,Cigna Evernorth - Georgia - Private,Centria Autism Services-Georgia,National,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,Yes,Yes,20%,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Tami/Rebecca,Cigna Evernorth - New Mexico - Private,Centria Autism Services-New Mexico,National,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,Yes,Yes,20%,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Tami/Rebecca,Kaiser - Virginia - Private,Centria Autism Services-Virginia,State,Private,Yes,No,No,No,No,No,Yes,Yes,No,N/A,,Yes,,15%,Yes,Yes,Yes,Yes,,,,97155 only allowed via telehealth up to 50% of the time,,
Tami/Rebecca,Aetna - New Mexico - Private,Centria Autism Services-New Mexico,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Tami/Rebecca,Humana - Texas - Private,Centria Autism Services-Texas,National,Private,No,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Wellcare - North Carolina - Medicaid,Centria Autism Services-North Carolina,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,KX,Yes,,,,,No,No,No,,,,"BCaBA categorized as a ""paraprofessional"" in RB-BHT policy",,
Tami/Rebecca,TUFTS - Massachusetts - Medicaid - Centria,Centria Autism Services-Massachusetts,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Optum - North Carolina - Private,Centria Autism Services-North Carolina,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,BCBS Anthem - Virginia - Private,Centria Autism Services-Virginia,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,Yes,No,No,No,,,,,,
Tami/Rebecca,Dept. Of Community Health - Georgia - Medicaid,Centria Autism Services-Georgia,State,Medicaid,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,,,,,No,No,No,,,,,,
Tami/Rebecca,Aetna - North Carolina - Private,Centria Autism Services-North Carolina,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Tami/Rebecca,BCBS - Massachusetts - Private - Centria,Centria Autism Services-Massachusetts,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Cigna Evernorth - Arizona - Private,Centria Autism Services-Arizona,National,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,Yes,Yes,20%,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Tami/Rebecca,Kaiser - Maryland - Private,Centria Autism Services-Maryland,State,Private,Yes,No,No,No,No,No,Yes,Yes,No,N/A,,Yes,,15%,Yes,Yes,Yes,Yes,,,,97155 only allowed via telehealth up to 50% of the time,,
Tami/Rebecca,BCBS Anthem - Virginia - Medicaid,Centria Autism Services-Virginia,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,,,,Yes,Yes,Yes,Yes,,,,"Tele 97151 allowed for reassessment only, 90791 allowed via tele",,
Tami/Rebecca,Humana (TriCare East) - Texas - TriCare,Centria Autism Services-Texas,Federal,Tricare,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,No,No,N/A,No,Yes,Yes,Yes,,,,Allows only 97156 telehealth after 6 months of service,,
Tami/Rebecca,Cigna Evernorth - Texas - Private,Centria Autism Services-Texas,National,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,Yes,Yes,20%,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Tami/Rebecca,Optum - Maryland - Medicaid,Centria Autism Services-Maryland,State,Medicaid,Yes,90 Days,No,No,No,No,Yes,Yes,No,N/A,,No,No,10%,Yes,No,Yes,Yes,2 to 8,2 to 8,2 to 8,25% of 97155 and 97156 must be in-person.,,
